date,gear,stratum,mesh,length,trip.start,trip.end,soak.min,chinook,chum,sockeye,sheefish,whitefish
7/5/2018,Drift,C,6,150,15:00,17:30,60,NA,NA,NA,NA,NA
7/5/2018,Drift,C,5.5,150,10:00,10:30,15,0,16,5,0,0
7/5/2018,Set,C,4,100,14:00,19:00,300,0,0,35,0,25
7/5/2018,Drift,C,6,150,10:00,11:30,70,3,10,27,0,0
7/5/2018,Drift,C,5.5,60,12:00,14:00,90,1,6,15,0,0
7/5/2018,Drift,C,5.75,150,16:00,17:00,20,1,20,12,0,0
7/5/2018,Drift,C,6,150,9:00,14:00,210,0,50,50,0,0
7/5/2018,Drift,C,6,150,16:00,20:23,90,1,8,0,0,0
7/5/2018,Set,C,6,150,10:00,12:00,120,0,3,60,0,0
7/5/2018,Drift,C,6,150,10:00,15:00,120,5,0,70,0,0
7/5/2018,Drift,C,5.5,150,13:00,17:00,240,1,10,37,0,0
7/5/2018,Drift,C,6,150,10:30,12:15,80,2,30,30,0,0
7/5/2018,Drift,C,6,150,14:30,15:00,15,1,0,14,0,0
7/5/2018,Drift,C,4.25,150,10:30,13:30,90,0,0,25,0,0
7/5/2018,Drift,C,6,150,17:30,20:58,30,0,10,30,0,0
7/5/2018,Drift,C,6,150,11:00,15:14,80,1,30,17,0,0
7/5/2018,Drift,C,5.5,150,12:00,13:00,60,1,75,15,0,0
7/5/2018,Drift,C,6,150,17:45,19:20,30,1,25,5,0,0
7/5/2018,Drift,C,5.5,150,9:00,18:00,405,4,12,41,0,0
7/5/2018,Drift,C,5.5,150,17:30,19:00,60,1,8,20,0,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
